"taskId";"title"
10001;"Specifications"
10002;"Initial Design"
10003;"Ginger: Production Art"
10004;"Specs"
10005;"HVE Holiday Boutique Ad"
10006;"User and Accounts Bugs"
10007;"New Task Created By Local.com"
10008;"New Task Created By Clickbrand"
10009;"Sherry (BoostMobile) Android Plugin"
10010;"Chaining feedback #5"
10011;"Urgent bug"
10012;"Image Uploader bug"
10013;"Fix Email send"
10014;"test task"
10015;"New Task 11/11 By Clickbrand"
10016;"Design: Adjust Tee Sheet"
10017;"Client feedback #1"
10018;"Sort By Handicap"
10019;"Tee Sheet Link"
10020;"new task by Dmitry"
10021;"Bulk Upload in Backend"
10022;"new task by Dmitry"
10023;"Issues Nov 11"
10024;"change of relatedTo made a cancelled status to a wrong task"
10025;"Jeff Weiss (MX)"
10026;"Skate U: Backend Refactoring"
10027;"Create API"
10028;"Misc. changes in CMS"
10029;"Queue domains without dns status"
10030;"Project Management"
10031;"Design Container"
10032;"Develop Wireframes"
10033;"Design the Pages"
10034;"Development"
10035;"Agent Lens XHTML"
10036;"Need features quote"
10037;"News 12 nov"
10038;"New Task 11/11 By Clickbrand"
10039;"new task by Dmitry"
10040;"Change from Google maps to Bing maps"
10041;"New Task 11/12 by Clickbrand"
10042;"Subtask 11/12 created by Local.com"
10043;"Make site live"
10044;"Believe/Asian Pantry Add To Websites"
10045;"Domain Monitor permissions and errors"
10046;"Comments from client Nov 12"
10047;"Modify monitor"
10048;"Fix bulk"
10049;"Issues Nov 15 "
10050;"Quote need"
10051;"Добавить Новости 15 ноября"
10052;"Fix choice of the zone"
10053;"DB synchronizer's interface"
10054;"Add Auto Fill feature to AdExchange city/state/zip"
10055;"Add Publisher types to platform"
10056;"Add Domain type to domains"
10057;"Fix error on prod"
10058;"FanScout Designs"
10059;"Define App RSCP (Architecture)"
10060;"Create Saritasa page"
10061;"graphs don't work"
10062;"Backend changes #3"
10063;"Add export csv to publisher search page"
10064;"Add Mike to Contact Form"
10065;"949 Media (Vertical Response Integration)"
10066;"SoLowStyle (November2010 2ndProject)"
10067;"FarinaWongKingsley.com Website Redo"
10068;"Identicoin: Production"
10069;"Fix bulk update"
10070;"Issues with widget "
10071;"Test Backend"
10072;"Artwork + T-Shirt changes"
10073;"Chad Steelberg - MobileTS.com"
10074;"test task"
10075;"Fix phone calls"
10076;"Human resource management | RU"
10077;"Sharp EMN Maintenance"
10078;"Sharp SEO Maintenance"
10079;"Urgent SEO Maintenance"
10080;"Urgent EMN Maintenance"
10081;"Sharp Rep. Maintenance"
10082;"Backend bugs #1"
10083;"BurrWhite EMN Maintenance"
10084;"Fix verification image."
10085;"Add Private Domain search in Ad Exchange"
10086;"Release 5.8"
